track_name,artist_name,artist_pop,album,track_pop,danceability,energy,loudness,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Year
New Flesh,Current Joys,66,Wild Heart,3,0.62,0.594,-16.066,9,0.0383,0.887,0.5,0.0917,0.698,165.861,2019
Wii Shop - Instrumental,Iceboy Ben,36,Wii Shop,43,0.76,0.516,-10.881,0,0.0694,0.000192,0.904,0.109,0.829,148.272,2019
Wannabe,why mona,55,Wannabe,72,0.578,0.724,-7.02,6,0.0865,0.192,2.38e-05,0.235,0.465,169.827,2019
Shh,Young Fanatic,44,Shh,0,0.758,0.716,-7.703,4,0.253,0.622,0.000402,0.281,0.964,170.14,2019
Walk,Comethazine,63,Bawskee,1,0.831,0.795,-6.186,1,0.264,0.221,0.0,0.291,0.744,160.063,2019
Ransom,Lil Tecca,77,We Love You Tecca,78,0.745,0.642,-6.257,7,0.287,0.0204,0.0,0.0658,0.226,179.974,2019
Panini,Lil Nas X,81,Panini,70,0.703,0.594,-6.146,5,0.0752,0.342,0.0,0.123,0.475,153.848,2019
You Reposted in the Wrong Neighborhood I Glue70 Mashup,Shokk,42,You Reposted in the Wrong Neighborhood I Glue70 Mashup,60,0.805,0.643,-13.912,10,0.232,0.41,0.0,0.606,0.927,104.047,2019
My Type,Saweetie,73,ICY,70,0.899,0.811,-6.294,2,0.258,0.000677,0.0,0.0672,0.587,105.038,2019
Mr. Sandman,The Chordettes,52,The Chordettes,50,0.626,0.535,-4.441,9,0.0443,0.85,0.0,0.0561,0.671,108.804,2019
Take Your Man,Mahogany Lox,38,Take Your Man,54,0.934,0.658,-8.052,0,0.108,0.411,0.000738,0.0809,0.344,110.015,2019
Rockefeller Street (New Nightcore) [#Rockefellerstreet Remix],Getter Jaani,42,Rockefeller Street (New Nightcore) [#Rockefellerstreet Remix],59,0.659,0.936,-3.519,2,0.0606,0.283,0.0207,0.192,0.884,161.983,2019
Midnight City,M83,69,"Hurry Up, We're Dreaming",0,0.507,0.729,-5.399,11,0.0393,0.0182,1.4e-06,0.0658,0.272,105.013,2019
Be Gone Thot!,LIL MAYO,34,Be Gone Thot!,42,0.922,0.451,-5.989,2,0.12,0.0142,4.74e-05,0.169,0.457,120.045,2019
Eyes. Lips. Face.,iLL Wayno,26,Eyes. Lips. Face.,0,0.88,0.73,-7.008,6,0.181,0.0365,6.33e-06,0.232,0.86,159.957,2019
The Muffin Song (asdfmovie),The Gregory Brothers,61,The Muffin Song (asdfmovie),59,0.911,0.842,-4.845,10,0.0922,0.205,1.48e-05,0.115,0.578,112.016,2019
Becky,Championxiii,39,Champion Status,46,0.934,0.439,-9.564,4,0.338,0.00506,0.0,0.092,0.289,140.022,2019
7 rings,Ariana Grande,87,7 rings,1,0.725,0.321,-10.744,1,0.323,0.578,0.0,0.0884,0.319,70.142,2019
I Don't Care (with Justin Bieber),Ed Sheeran,90,I Don't Care (with Justin Bieber),78,0.798,0.675,-5.041,6,0.0442,0.0912,0.0,0.0894,0.842,101.956,2019
I Love It (& Lil Pump),Kanye West,90,I Love It,72,0.901,0.522,-8.304,2,0.33,0.0114,0.0,0.259,0.329,104.053,2019
Ride It,Regard,71,Ride It,81,0.88,0.751,-4.258,7,0.0874,0.177,6.43e-05,0.106,0.884,117.948,2019
Never Ending Story,Gaten Matarazzo,57,"Stranger Things: Soundtrack from the Netflix Original Series, Season 3",75,0.438,0.489,-11.568,0,0.0465,0.0103,1.22e-05,0.442,0.182,136.077,2019
You Make My Dreams (Come True),Daryl Hall & John Oates,70,Voices,77,0.751,0.501,-12.151,5,0.0551,0.234,0.112,0.0467,0.902,167.057,2019
Indigo,88rising,68,Indigo,52,0.819,0.664,-5.612,7,0.0828,0.0958,1.75e-06,0.263,0.71,144.988,2019
Crystal Dolphin,Engelwood,50,Crust Fm,0,0.567,0.687,-9.041,1,0.125,0.36,0.00293,0.474,0.396,128.201,2019
Ophelia,The Lumineers,76,Cleopatra (Deluxe),54,0.664,0.573,-6.519,5,0.0277,0.613,0.000363,0.0857,0.566,76.023,2019
Oh No!,MARINA,73,The Family Jewels,72,0.77,0.896,-3.971,0,0.039,0.0539,0.0,0.243,0.964,126.999,2019
Disturbia,Rihanna,87,Good Girl Gone Bad: Reloaded,76,0.707,0.813,-4.515,11,0.0571,0.0863,0.0,0.168,0.722,124.921,2019
ok boomer (feat. Jed Will),Peter Kuli,31,ok boomer,36,0.913,0.518,-2.317,1,0.416,0.092,0.0,0.071,0.594,129.896,2019
Corduroy Dreams,Rex Orange County,79,Bcos U Will Never B Free,73,0.608,0.305,-14.037,4,0.053,0.653,0.0,0.103,0.222,113.818,2019
Birthday Suit,Cosmo Sheldrake,53,The Much Much How How and I,0,0.69,0.574,-8.109,8,0.231,0.837,9.48e-05,0.121,0.522,62.619,2019
All You Wanna Do,SIX,61,Six: The Musical (Studio Cast Recording),63,0.738,0.532,-7.967,11,0.187,0.302,0.0,0.0855,0.596,143.991,2019
Falling,Trevor Daniel,65,Falling,15,0.785,0.431,-8.756,10,0.0364,0.123,0.0,0.0887,0.236,127.085,2019
Candy,Doja Cat,88,Amala,71,0.689,0.516,-5.857,8,0.0444,0.513,0.0,0.163,0.209,124.876,2019
This Could Be Us,Rae Sremmurd,72,SremmLife,78,0.732,0.69,-4.992,0,0.134,0.291,0.0,0.116,0.758,143.072,2019
Poker Face,Lady Gaga,84,The Fame Monster (International Deluxe),44,0.851,0.806,-4.618,4,0.0788,0.12,1.39e-06,0.122,0.775,119.002,2019
L.O.V.E.,Harrison Craig,39,L.O.V.E.,51,0.588,0.412,-6.226,11,0.0363,0.72,0.0,0.153,0.703,74.961,2019
Sweet Caroline,Neil Diamond,67,Sweet Caroline,79,0.529,0.127,-16.066,11,0.0274,0.611,0.000109,0.237,0.578,63.05,2019
I'm Gonna Show You Crazy,Bebe Rexha,76,I'm Gonna Show You Crazy,62,0.474,0.537,-6.77,2,0.0649,0.0758,0.0,0.316,0.335,90.103,2019
Love Me,Justin Bieber,90,My Worlds (International Version),47,0.712,0.868,-3.319,5,0.0656,0.00939,0.0,0.283,0.652,125.028,2019
Dancin (feat. Luvli) - Krono Remix,Aaron Smith,64,Dancin (feat. Luvli) [Krono Remix],78,0.72,0.741,-6.529,10,0.0287,0.101,1.41e-05,0.289,0.357,119.896,2019
Tungs,The Frights,52,You Are Going to Hate This,56,0.565,0.618,-11.316,1,0.104,0.0697,6.37e-05,0.509,0.5,106.337,2019
Best Friend,Rex Orange County,79,Best Friend,79,0.575,0.714,-5.247,6,0.0596,0.395,0.0,0.115,0.32,144.982,2019
Video Games,The Young Professionals,41,Remixes & Covers,43,0.565,0.893,-4.683,4,0.0376,0.0303,0.0,0.0561,0.352,141.957,2019
Cha Cha,Freddie Dredd,72,Cha Cha,0,0.708,0.696,-6.363,1,0.172,0.487,0.0718,0.128,0.743,129.96,2019
Change Ya Life,Haiti Babii,47,Change Ya Life,58,0.696,0.399,-8.673,4,0.0369,0.0224,0.0,0.0747,0.364,98.004,2019
Oh Nanana Challenge,Bonde R300,41,Oh Nanana Challenge,0,0.729,0.842,-2.997,1,0.261,0.0597,3.11e-06,0.319,0.574,64.808,2019
Hot Dog!,They Might Be Giants (For Kids),50,"Minnie's Favorites (Songs from ""Mickey Mouse Clubhouse"")",29,0.818,0.674,-7.856,7,0.0811,0.448,3.59e-06,0.0774,0.926,92.614,2019
Baby Powder,Bandingo YGNE,34,Dingo Christmas Season,40,0.804,0.439,-9.605,1,0.365,0.357,0.0,0.162,0.329,150.039,2019
VALENTINO,24kGoldn,74,DROPPED OUTTA COLLEGE,72,0.746,0.717,-4.841,9,0.179,0.199,0.0,0.132,0.523,150.964,2019
You Belong With Me,Taylor Swift,93,Fearless (Big Machine Radio Release Special),72,0.687,0.745,-4.432,6,0.0379,0.178,1.59e-05,0.111,0.435,129.966,2019
Moment 4 Life,Nicki Minaj,85,Pink Friday,0,0.68,0.882,-3.883,11,0.236,0.406,0.0,0.241,0.386,97.943,2019
Leaked,Lil Tjay,79,Leaked,50,0.759,0.613,-7.91,7,0.105,0.816,0.0,0.0816,0.329,97.012,2019
Lottery (Renegade),K CAMP,63,Wayy 2 Kritical,56,0.915,0.556,-8.601,1,0.216,0.0145,0.000179,0.0733,0.67,148.964,2019
Good Morning,Mak Sauce,35,Good Morning,2,0.884,0.543,-8.552,11,0.492,0.0603,0.0,0.0672,0.783,148.037,2019
It's Up Freestyle,Lil Keed,60,It's Up Freestyle,51,0.859,0.391,-10.252,7,0.701,0.0216,0.0,0.0968,0.354,157.037,2019
Walls Could Talk,Halsey,83,hopeless fountain kingdom (Deluxe),75,0.626,0.423,-6.035,1,0.0513,0.128,0.0,0.18,0.571,95.162,2019
Tonight You Belong To Me,Patience & Prudence,39,The Best Of Patience & Prudence,52,0.68,0.32,-7.544,10,0.0289,0.954,0.0,0.0948,0.769,108.07,2019
u U U U u U did i mfken stutter?,swimcoach,33,u U U U u U did i mfken stutter?,50,0.878,0.414,-11.881,8,0.663,0.0139,4.11e-06,0.0935,0.139,154.831,2019
sex,EDEN,63,i think you think too much of me,65,0.413,0.521,-4.469,9,0.0466,0.162,0.0,0.323,0.532,103.391,2019
Somebody That I Used To Know,Gotye,67,Making Mirrors (Deluxe),52,0.863,0.512,-6.955,0,0.0363,0.599,0.000137,0.103,0.735,129.045,2019
Amour plastique,Videoclub,57,Amour plastique,68,0.7,0.354,-14.043,6,0.0345,0.765,0.00158,0.128,0.245,119.965,2019
A.M.,Lonr.,44,A.M.,51,0.74,0.761,-4.753,0,0.0851,0.0691,0.0,0.142,0.453,146.144,2019
The Love Club,Lorde,76,Pure Heroine (Extended),1,0.794,0.493,-7.257,5,0.0563,0.212,0.0133,0.13,0.626,92.026,2019
Cartier,Dopebwoy,62,Cartier,56,0.849,0.778,-5.443,0,0.217,0.0358,1.43e-06,0.126,0.634,126.842,2019
Fuck You,Lily Allen,67,"It's Not Me, It's You",62,0.775,0.904,-4.08,1,0.0437,0.0271,0.000303,0.06,0.84,130.009,2019
Chanel,Frank Ocean,82,Chanel,78,0.776,0.503,-5.732,0,0.237,0.874,0.0,0.112,0.473,110.134,2019
Pompeii,Bastille,75,All This Bad Blood,74,0.679,0.715,-6.383,9,0.0407,0.0755,0.0,0.271,0.571,127.435,2019
No Idea,Don Toliver,78,No Idea,2,0.651,0.631,-5.717,6,0.0896,0.519,0.000579,0.165,0.35,127.994,2019
Sweater Weather,The Neighbourhood,83,I Love You.,90,0.612,0.807,-2.81,10,0.0336,0.0495,0.0177,0.101,0.398,124.053,2019
Drip Boy,Saint Bone,0,Drip Boy,0,0.864,0.433,-13.471,1,0.352,0.182,0.0,0.299,0.486,78.08,2019
I Can't Decide,Scissor Sisters,61,Ta Dah,58,0.69,0.807,-4.912,3,0.0326,0.239,0.0,0.205,0.869,96.991,2019
Just Give Me a Reason (feat. Nate Ruess),P!nk,79,The Truth About Love,80,0.778,0.547,-7.273,2,0.0489,0.346,0.000302,0.132,0.441,95.002,2019
Griztronics,GRiZ,60,Bangers[2].Zip,60,0.607,0.941,-3.807,11,0.481,0.037,0.0137,0.321,0.521,75.401,2019
Back Up (feat. Big Sean),DeJ Loaf,61,#AndSeeThatsTheThing,54,0.816,0.535,-8.302,9,0.338,0.147,4.53e-06,0.176,0.435,80.012,2019
Out There,Patrick Page,44,The Hunchback of Notre Dame (Studio Cast Recording),44,0.252,0.469,-7.99,1,0.046,0.796,4.56e-06,0.0774,0.317,171.488,2019
Choices (Yup),E-40,66,Sharp on All 4 Corners: Corner 1,0,0.9,0.604,-7.26,9,0.338,0.153,0.000252,0.0914,0.265,119.969,2019
I Can't Handle Change,Roar,63,I Can't Handle Change,80,0.247,0.438,-8.478,5,0.0358,0.0447,0.000867,0.111,0.39,185.711,2019
I Will Survive - Single Version,Gloria Gaynor,62,Colour Collection,60,0.771,0.649,-10.375,0,0.0434,0.0137,0.00111,0.324,0.653,116.286,2019
Low (feat. T-Pain),Flo Rida,77,Mail on Sunday,80,0.918,0.609,-5.64,10,0.0791,0.0928,0.0,0.139,0.304,128.008,2019
Rather Be (feat. Jess Glynne),Clean Bandit,75,Rather Be (feat. Jess Glynne),72,0.799,0.586,-6.735,11,0.0377,0.162,2.03e-06,0.193,0.549,120.97,2019
I Lived,Kenny Packer,24,I Lived,35,0.636,0.674,-9.623,2,0.0336,0.215,1.97e-05,0.157,0.18,119.955,2019
Stolen Dance,Milky Chance,71,Sadnecessary,16,0.885,0.581,-8.813,11,0.0378,0.427,0.000204,0.0759,0.728,114.016,2019
Can't Stop Singing,Ross Lynch,62,Teen Beach Movie,59,0.513,0.69,-4.986,0,0.0341,0.51,0.0,0.102,0.777,96.881,2019
Wouldn't It Be Nice - Remastered 1999,The Beach Boys,72,The Beach Boys Love Songs,60,0.429,0.543,-9.139,5,0.0347,0.536,2.54e-05,0.125,0.693,122.619,2019
Cherry Cola,Kuwada,47,Cherry Cola,61,0.777,0.635,-6.323,5,0.0392,0.764,2.25e-06,0.155,0.653,138.04,2019
Entropy (2014 Original),Awkward Marina,40,Entropy (2014 Original),56,0.68,0.513,-13.605,8,0.0598,0.22,0.0,0.138,0.397,106.981,2019
Let Me Hit It - Audiostalkers Original Mix,Sporty-O,31,Let Me Hit It,46,0.788,0.798,-7.04,1,0.146,0.000122,0.222,0.0194,0.713,127.987,2019
Devil Town,Cavetown,73,Cavetown,0,0.577,0.758,-8.166,3,0.0586,0.122,0.0,0.121,0.493,99.969,2019
C'Mon,Kesha,76,Warrior (Expanded Edition),61,0.558,0.781,-5.448,1,0.0963,0.00657,0.00144,0.102,0.286,126.025,2019
Hall of Fame (feat. will.i.am),The Script,72,#3 Deluxe Version,78,0.421,0.873,-4.343,10,0.0564,0.0654,0.0,0.123,0.629,84.786,2019
All I Want for Christmas Is You,Mariah Carey,76,Merry Christmas,67,0.336,0.627,-7.463,7,0.0384,0.164,0.0,0.0708,0.35,150.273,2019
Jingle Bell Rock,Bobby Helms,43,The Classic Years: 1956-1962,42,0.754,0.424,-8.463,2,0.0363,0.643,0.0,0.0652,0.806,119.705,2019
If the World Was Ending (feat. Julia Michaels),JP Saxe,66,If the World Was Ending (feat. Julia Michaels),78,0.464,0.473,-10.086,1,0.129,0.866,0.0,0.109,0.604,75.801,2019
Tequila,The Champs,48,Go Champ Go,0,0.6,0.528,-16.601,10,0.0385,0.752,0.684,0.0493,0.971,174.095,2019
Say So,Doja Cat,88,Hot Pink,80,0.787,0.673,-4.583,11,0.159,0.264,3.35e-06,0.0904,0.779,110.962,2019
Get Up (feat. Chamillionaire),Ciara,68,Step Up Soundtrack,52,0.941,0.631,-5.998,1,0.114,0.0366,1.8e-06,0.0311,0.63,128.597,2019
Not What I Meant (feat. Lewis Watson),dodie,61,Human,45,0.482,0.273,-13.396,0,0.043,0.792,0.00223,0.109,0.142,118.952,2019
The Weekend - Funk Wav Remix,SZA,82,The Weekend (Funk Wav Remix),73,0.775,0.573,-4.933,11,0.0585,0.495,0.0,0.126,0.667,101.925,2019
A Thousand Years,Christina Perri,70,A Thousand Years,80,0.421,0.407,-7.445,10,0.0267,0.309,0.000961,0.11,0.161,139.028,2019
Mr. Saxobeat - Radio Edit,Alexandra Stan,61,Sundown (Original Motion Picture Soundtrack),0,0.72,0.925,-4.165,4,0.0511,0.0276,0.000238,0.14,0.781,127.004,2019
We R Who We R,Kesha,76,Cannibal (Expanded Edition),72,0.736,0.817,-4.9,8,0.0407,0.00987,0.00167,0.117,0.653,119.95,2019
Crank That (Soulja Boy),Soulja Boy,69,souljaboytellem.com,74,0.736,0.74,-2.18,0,0.0786,0.515,0.0,0.0468,0.803,140.141,2019
No More ?'s,Eazy-E,64,Eazy-Duz-It,69,0.935,0.805,-4.782,7,0.225,0.0143,1.53e-06,0.298,0.624,105.641,2019
